Panel,UniprotID
METABOLISM,P43234
METABOLISM,Q96LA6
METABOLISM,Q04900
METABOLISM,P20711
METABOLISM,Q9NPH0
METABOLISM,Q03403
METABOLISM,P25815
METABOLISM,O15123
METABOLISM,Q9Y5K6
METABOLISM,O43827
METABOLISM,Q9NY25
METABOLISM,Q9GZM7
METABOLISM,P35754
METABOLISM,P09104
METABOLISM,O95544
METABOLISM,Q9UBU3
METABOLISM,P50452
METABOLISM,P35237
METABOLISM,Q9HBB8
METABOLISM,Q76M96
METABOLISM,Q9NR28
METABOLISM,Q8N1Q1
METABOLISM,Q13275
METABOLISM,O43240
METABOLISM,Q9UKJ0
METABOLISM,O95841
METABOLISM,P51693
METABOLISM,Q8IZP9
METABOLISM,P19971
METABOLISM,O75791
METABOLISM,A6NI73
METABOLISM,P00352
METABOLISM,P40259
METABOLISM,P09525
METABOLISM,P50995
METABOLISM,Q9Y286
METABOLISM,P26010
METABOLISM,P09417
METABOLISM,O00161
METABOLISM,P27695
METABOLISM,O75356
METABOLISM,Q9H4D0
METABOLISM,P21964
METABOLISM,Q15846
METABOLISM,P51858
METABOLISM,Q6WN34
METABOLISM,P09668
METABOLISM,Q15155
METABOLISM,P16083
METABOLISM,Q9BQB4
METABOLISM,Q92520
METABOLISM,Q8NBS9
METABOLISM,P41236
METABOLISM,Q9UHL4
METABOLISM,Q86VZ4
METABOLISM,Q9UHX3
METABOLISM,Q6UWV6
METABOLISM,Q8WTU2
METABOLISM,Q8NI22
METABOLISM,Q9BYZ8
METABOLISM,Q8NBJ7
METABOLISM,Q8WVQ1
METABOLISM,P29017
METABOLISM,P22466
METABOLISM,P19022
METABOLISM,Q06418
METABOLISM,P46109
METABOLISM,Q8WX77
METABOLISM,Q9BZR6
METABOLISM,P13611
METABOLISM,P09467
METABOLISM,P01222
METABOLISM,P46379
METABOLISM,Q92692
METABOLISM,P05089
METABOLISM,P40818
METABOLISM,Q02790
METABOLISM,P31431
METABOLISM,Q9NWQ8
METABOLISM,Q16773
METABOLISM,P98082
METABOLISM,Q9NQX5
METABOLISM,Q641Q3
METABOLISM,Q16820
METABOLISM,Q01973
METABOLISM,P12724
NEURO EXPLORATORY,Q8IU54
NEURO EXPLORATORY,P23588
NEURO EXPLORATORY,P78560
NEURO EXPLORATORY,P13385
NEURO EXPLORATORY,P42892
NEURO EXPLORATORY,P41208
NEURO EXPLORATORY,P55291
NEURO EXPLORATORY,Q9H4F8
NEURO EXPLORATORY,P14207
NEURO EXPLORATORY,Q86Z14
NEURO EXPLORATORY,Q12864
NEURO EXPLORATORY,Q14956
NEURO EXPLORATORY,Q10589
NEURO EXPLORATORY,P18031
NEURO EXPLORATORY,P37108
NEURO EXPLORATORY,Q16864
NEURO EXPLORATORY,Q9H477
NEURO EXPLORATORY,Q9Y680
NEURO EXPLORATORY,Q9UJ72
NEURO EXPLORATORY,P09211
NEURO EXPLORATORY,P43628
NEURO EXPLORATORY,P23443
NEURO EXPLORATORY,O14944
NEURO EXPLORATORY,Q8IX05
NEURO EXPLORATORY,P29218
NEURO EXPLORATORY,P52943
NEURO EXPLORATORY,P11684
NEURO EXPLORATORY,Q16619
NEURO EXPLORATORY,P49789
NEURO EXPLORATORY,O94985
NEURO EXPLORATORY,P14625
NEURO EXPLORATORY,P48357
NEURO EXPLORATORY,P20138
NEURO EXPLORATORY,Q13444
NEURO EXPLORATORY,Q92597
NEURO EXPLORATORY,P40198
NEURO EXPLORATORY,P32456
NEURO EXPLORATORY,P21802
NEURO EXPLORATORY,P58417
NEURO EXPLORATORY,P41227
NEURO EXPLORATORY,P40933
NEURO EXPLORATORY,P32926
NEURO EXPLORATORY,Q8N474
NEURO EXPLORATORY,P13284
NEURO EXPLORATORY,P24071
NEURO EXPLORATORY,Q9NRG1
NEURO EXPLORATORY,O15496
NEURO EXPLORATORY,Q9UKS7
NEURO EXPLORATORY,Q969M7
NEURO EXPLORATORY,Q9H4A9
NEURO EXPLORATORY,Q99426
NEURO EXPLORATORY,P06748
NEURO EXPLORATORY,P07306
NEURO EXPLORATORY,Q5JZY3
NEURO EXPLORATORY,Q9Y5P4
NEURO EXPLORATORY,P11464
NEURO EXPLORATORY,Q06323
NEURO EXPLORATORY,Q6UWL6
NEURO EXPLORATORY,P09466
NEURO EXPLORATORY,Q9Y4X3
NEURO EXPLORATORY,Q9Y6D9
NEURO EXPLORATORY,Q96B36
NEURO EXPLORATORY,Q03393
NEURO EXPLORATORY,P24001
NEURO EXPLORATORY,Q9BYC5
NEURO EXPLORATORY,Q9BW30
NEURO EXPLORATORY,Q9UHV9
NEURO EXPLORATORY,Q9Y2V2
NEURO EXPLORATORY,Q6UX27
NEURO EXPLORATORY,O15263
NEURO EXPLORATORY,Q96IU4
NEURO EXPLORATORY,Q9BTE6
NEURO EXPLORATORY,Q8TCT1
NEURO EXPLORATORY,P51452
NEURO EXPLORATORY,Q96RJ3
NEURO EXPLORATORY,P07196
NEURO EXPLORATORY,P30519
NEURO EXPLORATORY,Q96EP0
NEURO EXPLORATORY,P16444
NEURO EXPLORATORY,O76070
NEURO EXPLORATORY,P26951
NEURO EXPLORATORY,P19801
NEURO EXPLORATORY,Q96EK5
NEURO EXPLORATORY,P63098
NEURO EXPLORATORY,Q9H0C8
NEURO EXPLORATORY,Q6UXK2
NEURO EXPLORATORY,Q9UK53
NEURO EXPLORATORY,Q15126
NEURO EXPLORATORY,O00308
NEURO EXPLORATORY,Q13451
NEURO EXPLORATORY,P36269
NEURO EXPLORATORY,P08962
NEUROLOGY,Q9HAN9
NEUROLOGY,O60462
NEUROLOGY,Q8N126
NEUROLOGY,P39905
NEUROLOGY,O95185
NEUROLOGY,Q2TAL6
NEUROLOGY,Q9Y336
NEUROLOGY,Q08708
NEUROLOGY,P15311
NEUROLOGY,Q9H3U7
NEUROLOGY,P41271
NEUROLOGY,P52798
NEUROLOGY,Q14108
NEUROLOGY,O14594
NEUROLOGY,Q2VWP7
NEUROLOGY,Q9HCK4
NEUROLOGY,O95727
NEUROLOGY,Q96B86
NEUROLOGY,Q9ULL4
NEUROLOGY,P48052
NEUROLOGY,P28907
NEUROLOGY,P17405
NEUROLOGY,P21757
NEUROLOGY,P30533
NEUROLOGY,Q92765
NEUROLOGY,O15197
NEUROLOGY,Q6NW40
NEUROLOGY,Q9BZZ2
NEUROLOGY,O94779
NEUROLOGY,Q9P0K1
NEUROLOGY,Q9P126
