Protein,C(Time): sum_sq,Residual: sum_sq,C(Time): df,Residual: df,C(Time): F,Residual: F,C(Time): PR(>F),Residual: PR(>F)
WWP2_OID05219,3.074499585644548,258.5254512238108,2.0,84.0,0.49948266983308104,,0.6086353408374199,
FKBP5_OID05220,5.651361985389757,660.9530555104097,2.0,84.0,0.3591135579259479,,0.6993618622179253,
GGT5_OID05221,6.418745843047276,998.1771652358576,2.0,84.0,0.27007963595749584,,0.7639790041964936,
CD63_OID05222,13.360982772549345,402.4585063384336,2.0,84.0,1.3943332482956226,,0.2536783260982078,
NMNAT1_OID00287,50.20558816900197,1029.631984678359,2.0,84.0,2.047949883527353,,0.13539131300692148,
NRP2_OID00288,0.20483889618510015,38.0155965790276,2.0,84.0,0.22630800024115438,,0.7979570735480344,
CADM3_OID00290,2.060335076374823,1426.0278782357436,2.0,84.0,0.06068189446254094,,0.9411637854869469,
GDNF_OID00291,10.268266147311616,1410.57972726565,2.0,84.0,0.3057375417007313,,0.737396079474055,
UNC5C_OID00292,1.5012538059121454,261.9338808612976,2.0,84.0,0.2407197558444091,,0.786602259074684,
VWC2_OID00293,11.851840809335599,614.1070538647796,2.0,84.0,0.8105709108198924,,0.4480509238698094,
Siglec-9_OID00294,0.15483890898217062,56.60863167040752,2.0,84.0,0.11488061070111978,,0.8916123885160339,
CLM-6_OID00295,10.151516624605685,484.2065024415709,2.0,84.0,0.8805410420627054,,0.4183496673578109,
EZR_OID00296,0.8178277587999846,178.782499715662,2.0,84.0,0.19212599624811197,,0.8255644882387059,
SMOC2_OID00297,8.69336952530767,169.67269079125742,2.0,84.0,2.1519168368238986,,0.12262769055122698,
NBL1_OID00298,17.025085972411897,500.31816891540336,2.0,84.0,1.4291977690744329,,0.24526427810322696,
EFNA4_OID00299,17.503285444568576,2263.129838456426,2.0,84.0,0.32483244053433674,,0.7235520918244502,
SCARB2_OID00300,0.2873391299838446,72.86840204004255,2.0,84.0,0.16561696320292224,,0.8476467625041589,
NCAN_OID00301,0.32568373826780234,88.59768299641313,2.0,84.0,0.15439136267030235,,0.8571791954547707,
PRTG_OID00302,22.094223952199034,1123.2896540397228,2.0,84.0,0.8261069641789331,,0.4412747798460648,
ROBO2_OID00303,0.19008677452675102,1024.2504072588688,2.0,84.0,0.007794621777588182,,0.9922363950946839,
